,Domain 0,Domain 1,Domain 2,Domain 3,Domain 4
0,45.07874015748032,,,,
1,54.13385826771653,,,,
2,56.69291338582677,,,,
3,58.267716535433074,,,,
4,59.05511811023622,,,,
5,59.44881889763779,,,,
6,59.05511811023622,,,,
7,59.05511811023622,,,,
8,58.85826771653543,,,,
9,58.66141732283464,,,,
10,57.08661417322835,,,,
11,57.67716535433071,,,,
12,58.66141732283464,,,,
13,60.03937007874016,,,,
14,60.23622047244095,,,,
15,59.84251968503937,,,,
16,60.62992125984252,,,,
17,61.22047244094488,,,,
18,61.023622047244096,,,,
19,61.61417322834646,,,,
20,61.61417322834646,,,,
21,60.62992125984252,,,,
22,60.23622047244095,,,,
23,60.8267716535433,,,,
24,60.23622047244095,,,,
25,59.645669291338585,,,,
26,60.23622047244095,,,,
27,60.23622047244095,,,,
28,60.03937007874016,,,,
29,61.61417322834646,,,,
30,61.023622047244096,,,,
31,61.41732283464567,,,,
32,61.61417322834646,,,,
33,61.22047244094488,,,,
34,61.41732283464567,,,,
35,62.40157480314961,,,,
36,62.79527559055118,,,,
37,62.40157480314961,,,,
38,63.18897637795276,,,,
39,63.58267716535433,,,,
40,63.38582677165354,,,,
41,62.99212598425197,,,,
42,62.99212598425197,,,,
43,62.59842519685039,,,,
44,62.20472440944882,,,,
45,62.20472440944882,,,,
46,62.40157480314961,,,,
47,62.59842519685039,,,,
48,62.40157480314961,,,,
49,62.99212598425197,,,,
50,62.40157480314961,,,,
51,62.59842519685039,,,,
52,62.79527559055118,,,,
53,62.79527559055118,,,,
54,62.59842519685039,,,,
55,62.79527559055118,,,,
56,62.99212598425197,,,,
57,62.79527559055118,,,,
58,63.18897637795276,,,,
59,62.99212598425197,,,,
60,62.59842519685039,,,,
61,62.79527559055118,,,,
62,62.40157480314961,,,,
63,62.59842519685039,,,,
64,62.79527559055118,,,,
65,62.79527559055118,,,,
66,62.99212598425197,,,,
67,62.99212598425197,,,,
68,63.18897637795276,,,,
69,63.58267716535433,,,,
70,63.38582677165354,,,,
71,63.18897637795276,,,,
72,63.18897637795276,,,,
73,63.58267716535433,,,,
74,63.77952755905512,,,,
75,63.77952755905512,,,,
76,63.976377952755904,,,,
77,63.976377952755904,,,,
78,63.976377952755904,,,,
79,63.77952755905512,,,,
80,63.77952755905512,,,,
81,63.976377952755904,,,,
82,63.976377952755904,,,,
83,63.77952755905512,,,,
84,63.77952755905512,,,,
85,63.77952755905512,,,,
86,63.77952755905512,,,,
87,63.77952755905512,,,,
88,63.77952755905512,,,,
