,Domain 0,Domain 1,Domain 2,Domain 3,Domain 4,Mean
147,62.82051282051282,,,,,62.82051282051282
148,62.66025641025641,,,,,62.66025641025641
149,62.82051282051282,,,,,62.82051282051282
150,62.82051282051282,,,,,62.82051282051282
151,62.98076923076923,,,,,62.98076923076923
152,62.98076923076923,,,,,62.98076923076923
153,62.98076923076923,,,,,62.98076923076923
154,62.66025641025641,,,,,62.66025641025641
155,62.66025641025641,,,,,62.66025641025641
156,62.66025641025641,,,,,62.66025641025641
157,62.66025641025641,,,,,62.66025641025641
158,62.33974358974359,,,,,62.33974358974359
159,62.66025641025641,,,,,62.66025641025641
160,62.82051282051282,,,,,62.82051282051282
161,62.82051282051282,,,,,62.82051282051282
162,62.82051282051282,,,,,62.82051282051282
163,62.66025641025641,,,,,62.66025641025641
164,63.14102564102564,,,,,63.14102564102564
165,62.98076923076923,,,,,62.98076923076923
166,63.14102564102564,,,,,63.14102564102564
167,63.14102564102564,,,,,63.14102564102564
168,63.30128205128205,,,,,63.30128205128205
169,63.30128205128205,,,,,63.30128205128205
170,63.30128205128205,,,,,63.30128205128205
171,62.98076923076923,,,,,62.98076923076923
172,62.82051282051282,,,,,62.82051282051282
173,62.98076923076923,,,,,62.98076923076923
174,63.14102564102564,,,,,63.14102564102564
175,63.30128205128205,,,,,63.30128205128205
176,63.30128205128205,,,,,63.30128205128205
177,63.14102564102564,,,,,63.14102564102564
178,63.30128205128205,,,,,63.30128205128205
179,63.14102564102564,,,,,63.14102564102564
180,63.46153846153846,,,,,63.46153846153846
181,63.30128205128205,,,,,63.30128205128205
182,63.30128205128205,,,,,63.30128205128205
183,63.14102564102564,,,,,63.14102564102564
184,63.46153846153846,,,,,63.46153846153846
185,63.46153846153846,,,,,63.46153846153846
186,63.62179487179487,,,,,63.62179487179487
187,63.14102564102564,,,,,63.14102564102564
188,63.14102564102564,,,,,63.14102564102564
189,63.30128205128205,,,,,63.30128205128205
190,62.98076923076923,,,,,62.98076923076923
191,62.98076923076923,,,,,62.98076923076923
192,63.30128205128205,,,,,63.30128205128205
193,63.30128205128205,,,,,63.30128205128205
194,62.98076923076923,,,,,62.98076923076923
195,62.98076923076923,,,,,62.98076923076923
196,62.98076923076923,,,,,62.98076923076923
197,62.82051282051282,,,,,62.82051282051282
198,62.98076923076923,,,,,62.98076923076923
199,62.98076923076923,,,,,62.98076923076923
200,62.98076923076923,,,,,62.98076923076923
201,62.98076923076923,,,,,62.98076923076923
202,62.98076923076923,,,,,62.98076923076923
203,62.98076923076923,,,,,62.98076923076923
204,62.98076923076923,,,,,62.98076923076923
205,62.98076923076923,,,,,62.98076923076923
206,62.98076923076923,,,,,62.98076923076923
207,62.98076923076923,,,,,62.98076923076923
208,62.98076923076923,,,,,62.98076923076923
209,62.98076923076923,,,,,62.98076923076923
210,62.98076923076923,,,,,62.98076923076923
211,63.14102564102564,,,,,63.14102564102564
212,63.14102564102564,,,,,63.14102564102564
213,63.14102564102564,,,,,63.14102564102564
214,63.14102564102564,,,,,63.14102564102564
215,63.14102564102564,,,,,63.14102564102564
216,63.14102564102564,,,,,63.14102564102564
217,63.14102564102564,,,,,63.14102564102564
218,63.14102564102564,,,,,63.14102564102564
219,63.14102564102564,,,,,63.14102564102564
220,63.14102564102564,,,,,63.14102564102564
221,63.14102564102564,,,,,63.14102564102564
222,63.14102564102564,,,,,63.14102564102564
223,63.14102564102564,,,,,63.14102564102564
224,63.14102564102564,,,,,63.14102564102564
225,63.14102564102564,,,,,63.14102564102564
226,63.14102564102564,,,,,63.14102564102564
227,63.14102564102564,,,,,63.14102564102564
228,63.14102564102564,,,,,63.14102564102564
229,63.14102564102564,,,,,63.14102564102564
230,63.14102564102564,,,,,63.14102564102564
231,63.14102564102564,,,,,63.14102564102564
232,63.14102564102564,,,,,63.14102564102564
233,63.14102564102564,,,,,63.14102564102564
234,63.14102564102564,,,,,63.14102564102564
235,63.14102564102564,,,,,63.14102564102564
236,63.30128205128205,,,,,63.30128205128205
237,63.62179487179487,,,,,63.62179487179487
238,63.782051282051285,,,,,63.782051282051285
239,63.62179487179487,,,,,63.62179487179487
240,63.782051282051285,,,,,63.782051282051285
241,63.782051282051285,,,,,63.782051282051285
242,63.782051282051285,,,,,63.782051282051285
243,63.782051282051285,,,,,63.782051282051285
244,63.782051282051285,,,,,63.782051282051285
245,63.782051282051285,,,,,63.782051282051285
246,63.782051282051285,,,,,63.782051282051285
247,63.782051282051285,,,,,63.782051282051285
248,63.782051282051285,,,,,63.782051282051285
249,63.782051282051285,,,,,63.782051282051285
250,63.782051282051285,,,,,63.782051282051285
251,63.782051282051285,,,,,63.782051282051285
252,63.782051282051285,,,,,63.782051282051285
253,63.782051282051285,,,,,63.782051282051285
254,63.782051282051285,,,,,63.782051282051285
255,63.782051282051285,,,,,63.782051282051285
256,63.62179487179487,,,,,63.62179487179487
257,63.782051282051285,,,,,63.782051282051285
258,63.782051282051285,,,,,63.782051282051285
259,63.94230769230769,,,,,63.94230769230769
260,63.94230769230769,,,,,63.94230769230769
261,63.782051282051285,,,,,63.782051282051285
262,63.782051282051285,,,,,63.782051282051285
263,63.782051282051285,,,,,63.782051282051285
264,63.94230769230769,,,,,63.94230769230769
265,63.782051282051285,,,,,63.782051282051285
266,63.62179487179487,,,,,63.62179487179487
267,63.62179487179487,,,,,63.62179487179487
268,63.62179487179487,,,,,63.62179487179487
269,63.46153846153846,,,,,63.46153846153846
270,63.46153846153846,,,,,63.46153846153846
271,63.46153846153846,,,,,63.46153846153846
272,63.46153846153846,,,,,63.46153846153846
273,63.782051282051285,,,,,63.782051282051285
274,63.782051282051285,,,,,63.782051282051285
275,63.782051282051285,,,,,63.782051282051285
276,63.782051282051285,,,,,63.782051282051285
277,63.782051282051285,,,,,63.782051282051285
278,63.782051282051285,,,,,63.782051282051285
279,63.782051282051285,,,,,63.782051282051285
280,63.94230769230769,,,,,63.94230769230769
281,63.782051282051285,,,,,63.782051282051285
282,63.94230769230769,,,,,63.94230769230769
283,63.94230769230769,,,,,63.94230769230769
284,63.782051282051285,,,,,63.782051282051285
285,63.782051282051285,,,,,63.782051282051285
286,63.782051282051285,,,,,63.782051282051285
287,63.782051282051285,,,,,63.782051282051285
288,63.782051282051285,,,,,63.782051282051285
289,63.62179487179487,,,,,63.62179487179487
