,Domain 0,Domain 1,Domain 2,Domain 3
0,31.818181818181817,,,
1,75.75757575757575,,,
2,88.18181818181819,,,
3,91.21212121212122,,,
4,92.12121212121212,,,
5,92.12121212121212,,,
6,92.12121212121212,,,
7,92.12121212121212,,,
8,92.12121212121212,,,
9,92.12121212121212,,,
10,92.12121212121212,,,
11,92.12121212121212,,,
12,92.12121212121212,,,
13,92.12121212121212,,,
14,92.12121212121212,,,
15,92.12121212121212,,,
16,92.12121212121212,,,
17,92.12121212121212,,,
18,92.12121212121212,,,
19,92.12121212121212,,,
20,92.12121212121212,,,
21,92.12121212121212,,,
22,92.12121212121212,,,
23,92.12121212121212,,,
24,92.12121212121212,,,
25,92.12121212121212,,,
26,92.12121212121212,,,
27,92.12121212121212,,,
28,92.12121212121212,,,
29,92.12121212121212,,,
30,92.12121212121212,,,
31,92.12121212121212,,,
32,92.12121212121212,,,
33,92.12121212121212,,,
34,92.12121212121212,,,
35,91.51515151515152,,,
36,91.51515151515152,,,
37,91.51515151515152,,,
38,91.21212121212122,,,
39,91.21212121212122,,,
40,90.9090909090909,,,
41,90.9090909090909,,,
42,90.9090909090909,,,
43,90.9090909090909,,,
44,91.21212121212122,,,
45,91.21212121212122,,,
46,91.21212121212122,,,
47,90.9090909090909,,,
48,91.21212121212122,,,
49,90.9090909090909,,,
50,90.9090909090909,,,
51,90.9090909090909,,,
52,90.9090909090909,,,
53,90.9090909090909,,,
54,90.9090909090909,,,
55,90.9090909090909,,,
56,90.9090909090909,,,
57,90.9090909090909,,,
58,90.9090909090909,,,
59,90.9090909090909,,,
60,90.9090909090909,,,
61,90.9090909090909,,,
62,90.9090909090909,,,
63,90.9090909090909,,,
64,90.9090909090909,,,
65,90.9090909090909,,,
66,90.9090909090909,,,
67,90.9090909090909,,,
68,90.9090909090909,,,
69,90.9090909090909,,,
70,90.9090909090909,,,
71,90.9090909090909,,,
72,90.9090909090909,,,
73,90.9090909090909,,,
74,90.9090909090909,,,
75,90.9090909090909,,,
76,90.9090909090909,,,
77,90.9090909090909,,,
78,90.9090909090909,,,
79,90.9090909090909,,,
80,90.9090909090909,,,
81,90.9090909090909,,,
82,90.9090909090909,,,
83,90.9090909090909,,,
84,90.9090909090909,,,
85,90.9090909090909,,,
86,90.9090909090909,,,
87,90.9090909090909,,,
88,90.9090909090909,,,
89,90.9090909090909,,,
90,90.9090909090909,,,
91,90.9090909090909,,,
92,90.9090909090909,,,
93,90.9090909090909,,,
94,90.9090909090909,,,
95,90.9090909090909,,,
96,90.9090909090909,,,
97,90.9090909090909,,,
98,90.9090909090909,,,
99,90.9090909090909,,,
100,90.9090909090909,,,
101,90.9090909090909,,,
102,90.9090909090909,,,
103,90.9090909090909,,,
104,90.9090909090909,,,
105,90.9090909090909,,,
106,90.9090909090909,,,
107,90.9090909090909,,,
108,90.9090909090909,,,
109,90.9090909090909,,,
110,90.9090909090909,,,
111,91.21212121212122,,,
112,91.21212121212122,,,
113,91.21212121212122,,,
114,91.21212121212122,,,
115,91.21212121212122,,,
116,91.21212121212122,,,
117,91.21212121212122,,,
118,91.21212121212122,,,
119,91.21212121212122,,,
120,91.21212121212122,,,
121,91.21212121212122,,,
122,91.21212121212122,,,
123,91.21212121212122,,,
124,91.21212121212122,,,
125,91.21212121212122,,,
126,91.21212121212122,,,
127,91.21212121212122,,,
128,91.21212121212122,,,
129,91.21212121212122,,,
130,91.21212121212122,,,
131,91.21212121212122,,,
132,91.21212121212122,,,
133,91.51515151515152,,,
134,91.51515151515152,,,
135,91.51515151515152,,,
136,91.51515151515152,,,
137,91.51515151515152,,,
138,91.51515151515152,,,
139,91.51515151515152,,,
140,91.51515151515152,,,
141,91.51515151515152,,,
142,91.51515151515152,,,
143,91.51515151515152,,,
144,91.51515151515152,,,
145,91.51515151515152,,,
146,91.51515151515152,,,
147,91.8181818181818,,,
148,91.8181818181818,,,
149,91.8181818181818,,,
150,91.8181818181818,,,
151,91.8181818181818,,,
152,91.8181818181818,,,
153,91.8181818181818,,,
154,91.8181818181818,,,
155,91.8181818181818,,,
156,91.8181818181818,,,
157,91.8181818181818,,,
158,91.8181818181818,,,
159,91.8181818181818,,,
160,91.8181818181818,,,
161,91.8181818181818,,,
162,91.8181818181818,,,
163,91.8181818181818,,,
164,91.8181818181818,,,
165,91.8181818181818,,,
166,91.8181818181818,,,
167,91.8181818181818,,,
168,91.8181818181818,,,
169,91.8181818181818,,,
170,91.8181818181818,,,
171,91.8181818181818,,,
172,91.8181818181818,,,
173,91.8181818181818,,,
174,91.8181818181818,,,
175,91.8181818181818,,,
176,91.8181818181818,,,
177,91.8181818181818,,,
178,91.8181818181818,,,
179,91.8181818181818,,,
180,92.12121212121212,,,
181,92.12121212121212,,,
182,92.12121212121212,,,
183,92.12121212121212,,,
184,92.12121212121212,,,
185,92.12121212121212,,,
186,92.12121212121212,,,
187,92.12121212121212,,,
188,92.12121212121212,,,
189,92.12121212121212,,,
190,92.12121212121212,,,
191,92.12121212121212,,,
192,92.12121212121212,,,
193,92.12121212121212,,,
194,92.12121212121212,,,
195,92.12121212121212,,,
196,92.12121212121212,,,
197,92.12121212121212,,,
198,92.12121212121212,,,
199,92.12121212121212,,,
200,92.12121212121212,,,
201,92.12121212121212,,,
202,92.12121212121212,,,
203,92.12121212121212,,,
204,92.12121212121212,,,
205,92.12121212121212,,,
206,92.12121212121212,,,
207,92.12121212121212,,,
208,92.12121212121212,,,
209,92.12121212121212,,,
210,92.12121212121212,,,
211,92.12121212121212,,,
212,92.12121212121212,,,
213,92.12121212121212,,,
214,92.12121212121212,,,
215,92.12121212121212,,,
216,92.12121212121212,,,
217,92.12121212121212,,,
218,92.12121212121212,,,
219,92.12121212121212,,,
220,92.12121212121212,,,
221,92.12121212121212,,,
222,92.12121212121212,,,
223,92.12121212121212,,,
224,92.12121212121212,,,
225,92.12121212121212,,,
226,92.12121212121212,,,
227,92.12121212121212,,,
228,92.12121212121212,,,
229,92.12121212121212,,,
230,92.12121212121212,,,
231,92.12121212121212,,,
232,92.12121212121212,,,
233,92.12121212121212,,,
234,92.12121212121212,,,
235,92.12121212121212,,,
236,92.12121212121212,,,
237,92.12121212121212,,,
238,92.12121212121212,,,
239,92.12121212121212,,,
240,92.12121212121212,,,
241,92.12121212121212,,,
242,92.12121212121212,,,
243,92.12121212121212,,,
244,92.12121212121212,,,
245,92.12121212121212,,,
246,92.12121212121212,,,
247,92.12121212121212,,,
248,92.12121212121212,,,
249,92.12121212121212,,,
250,92.12121212121212,,,
251,92.12121212121212,,,
252,92.12121212121212,,,
253,92.12121212121212,,,
254,92.12121212121212,,,
255,92.12121212121212,,,
256,92.12121212121212,,,
257,92.12121212121212,,,
258,92.12121212121212,,,
259,92.12121212121212,,,
260,92.12121212121212,,,
261,92.12121212121212,,,
262,92.12121212121212,,,
263,92.12121212121212,,,
264,92.12121212121212,,,
265,92.12121212121212,,,
266,92.12121212121212,,,
267,92.12121212121212,,,
268,92.12121212121212,,,
269,92.12121212121212,,,
270,92.12121212121212,,,
271,92.12121212121212,,,
272,92.12121212121212,,,
273,92.12121212121212,,,
274,92.12121212121212,,,
275,92.12121212121212,,,
276,92.12121212121212,,,
277,92.12121212121212,,,
278,92.12121212121212,,,
279,92.12121212121212,,,
280,92.12121212121212,,,
281,92.12121212121212,,,
282,92.12121212121212,,,
283,92.12121212121212,,,
284,92.12121212121212,,,
285,92.12121212121212,,,
286,92.12121212121212,,,
287,92.12121212121212,,,
288,92.12121212121212,,,
289,92.12121212121212,,,
290,92.12121212121212,,,
291,92.12121212121212,,,
292,92.12121212121212,,,
293,92.12121212121212,,,
294,92.12121212121212,,,
295,92.12121212121212,,,
296,92.12121212121212,,,
297,92.12121212121212,,,
298,92.12121212121212,,,
299,92.12121212121212,,,
300,92.12121212121212,,,
301,92.12121212121212,,,
302,92.12121212121212,,,
303,92.12121212121212,,,
304,92.12121212121212,,,
305,92.12121212121212,,,
306,92.12121212121212,,,
307,92.12121212121212,,,
308,92.12121212121212,,,
309,92.12121212121212,,,
310,92.12121212121212,,,
311,92.12121212121212,,,
312,92.12121212121212,,,
313,92.12121212121212,,,
314,92.12121212121212,,,
315,92.12121212121212,,,
316,92.12121212121212,,,
317,92.12121212121212,,,
318,92.12121212121212,,,
319,92.12121212121212,,,
320,92.12121212121212,,,
321,92.12121212121212,,,
322,92.12121212121212,,,
323,92.12121212121212,,,
324,92.12121212121212,,,
325,92.12121212121212,,,
326,92.12121212121212,,,
327,92.12121212121212,,,
328,92.12121212121212,,,
329,92.12121212121212,,,
330,92.12121212121212,,,
331,92.12121212121212,,,
332,92.12121212121212,,,
333,92.12121212121212,,,
334,92.12121212121212,,,
335,92.12121212121212,,,
336,92.12121212121212,,,
337,92.12121212121212,,,
338,92.12121212121212,,,
339,92.12121212121212,,,
340,92.12121212121212,,,
341,92.12121212121212,,,
342,92.12121212121212,,,
343,92.12121212121212,,,
344,92.12121212121212,,,
345,92.12121212121212,,,
346,92.12121212121212,,,
347,92.12121212121212,,,
348,92.12121212121212,,,
349,92.12121212121212,,,
350,92.12121212121212,,,
351,92.12121212121212,,,
352,92.12121212121212,,,
353,92.12121212121212,,,
354,92.12121212121212,,,
355,92.12121212121212,,,
356,92.12121212121212,,,
357,92.12121212121212,,,
358,92.12121212121212,,,
359,92.12121212121212,,,
360,92.12121212121212,,,
361,92.12121212121212,,,
362,92.12121212121212,,,
363,92.12121212121212,,,
364,92.12121212121212,,,
365,92.12121212121212,,,
366,92.12121212121212,,,
367,92.12121212121212,,,
368,92.12121212121212,,,
369,92.12121212121212,,,
370,92.12121212121212,,,
371,92.12121212121212,,,
372,92.12121212121212,,,
373,92.12121212121212,,,
374,92.12121212121212,,,
375,92.12121212121212,,,
376,92.12121212121212,,,
377,92.12121212121212,,,
378,92.12121212121212,,,
379,92.12121212121212,,,
380,92.12121212121212,,,
381,92.12121212121212,,,
382,92.12121212121212,,,
383,92.12121212121212,,,
384,92.12121212121212,,,
385,92.12121212121212,,,
386,92.12121212121212,,,
387,92.12121212121212,,,
388,92.12121212121212,,,
389,92.12121212121212,,,
390,92.12121212121212,,,
391,92.12121212121212,,,
392,92.12121212121212,,,
393,92.12121212121212,,,
394,92.12121212121212,,,
395,92.12121212121212,,,
396,92.12121212121212,,,
397,92.12121212121212,,,
398,92.12121212121212,,,
399,92.12121212121212,,,
400,92.12121212121212,,,
401,92.12121212121212,,,
402,92.12121212121212,,,
403,92.12121212121212,,,
404,92.12121212121212,,,
405,92.12121212121212,,,
406,92.12121212121212,,,
407,92.12121212121212,,,
408,92.12121212121212,,,
409,92.12121212121212,,,
410,92.12121212121212,,,
411,92.12121212121212,,,
412,92.12121212121212,,,
413,92.12121212121212,,,
414,92.12121212121212,,,
415,92.12121212121212,,,
416,92.12121212121212,,,
417,92.12121212121212,,,
418,92.12121212121212,,,
419,92.12121212121212,,,
420,92.12121212121212,,,
421,92.12121212121212,,,
422,92.12121212121212,,,
423,92.12121212121212,,,
424,92.12121212121212,,,
425,92.12121212121212,,,
426,92.12121212121212,,,
427,92.12121212121212,,,
428,92.12121212121212,,,
429,92.12121212121212,,,
430,92.12121212121212,,,
431,92.12121212121212,,,
432,92.12121212121212,,,
433,92.12121212121212,,,
434,92.12121212121212,,,
435,92.12121212121212,,,
436,92.12121212121212,,,
437,92.12121212121212,,,
438,92.12121212121212,,,
439,92.12121212121212,,,
440,92.12121212121212,,,
441,92.12121212121212,,,
442,91.8181818181818,,,
443,91.8181818181818,,,
444,91.8181818181818,,,
445,92.12121212121212,,,
446,92.12121212121212,,,
447,92.12121212121212,,,
448,92.12121212121212,,,
449,92.12121212121212,,,
450,92.12121212121212,,,
451,92.12121212121212,,,
452,92.12121212121212,,,
453,92.12121212121212,,,
454,91.8181818181818,,,
455,91.8181818181818,,,
456,91.8181818181818,,,
457,91.8181818181818,,,
458,91.8181818181818,,,
459,91.8181818181818,,,
460,91.8181818181818,,,
461,91.8181818181818,,,
462,91.8181818181818,,,
463,91.8181818181818,,,
464,91.8181818181818,,,
465,91.8181818181818,,,
466,91.8181818181818,,,
467,91.8181818181818,,,
468,91.8181818181818,,,
469,91.8181818181818,,,
470,91.8181818181818,,,
471,91.8181818181818,,,
472,91.8181818181818,,,
473,91.8181818181818,,,
474,91.8181818181818,,,
475,91.8181818181818,,,
476,91.8181818181818,,,
477,91.8181818181818,,,
478,91.8181818181818,,,
479,91.8181818181818,,,
480,91.8181818181818,,,
481,91.8181818181818,,,
482,91.8181818181818,,,
483,91.8181818181818,,,
484,91.8181818181818,,,
485,91.8181818181818,,,
486,91.8181818181818,,,
487,91.8181818181818,,,
488,91.8181818181818,,,
489,91.8181818181818,,,
490,91.8181818181818,,,
491,91.8181818181818,,,
492,91.8181818181818,,,
493,91.8181818181818,,,
494,91.8181818181818,,,
495,91.8181818181818,,,
496,92.12121212121212,,,
497,92.12121212121212,,,
498,92.12121212121212,,,
499,92.12121212121212,,,
500,91.8181818181818,95.83333333333331,,
501,91.21212121212122,95.83333333333331,,
502,90.9090909090909,95.83333333333331,,
503,90.9090909090909,95.83333333333331,,
504,90.9090909090909,95.3125,,
505,90.9090909090909,95.3125,,
506,90.9090909090909,95.3125,,
507,89.39393939393939,95.3125,,
508,89.39393939393939,95.3125,,
509,89.39393939393939,94.79166666666669,,
510,89.39393939393939,94.79166666666669,,
511,89.39393939393939,94.27083333333331,,
512,88.78787878787878,93.75,,
513,87.87878787878788,93.75,,
514,86.96969696969697,93.22916666666669,,
515,86.36363636363636,92.70833333333331,,
516,85.75757575757575,92.70833333333331,,
517,85.75757575757575,91.14583333333331,,
518,85.15151515151516,91.14583333333331,,
519,84.24242424242425,90.625,,
520,83.03030303030303,89.58333333333333,,
521,81.81818181818181,89.58333333333333,,
522,80.60606060606061,89.58333333333333,,
523,79.39393939393939,89.58333333333333,,
524,78.48484848484848,89.0625,,
525,78.18181818181819,89.0625,,
526,78.18181818181819,88.02083333333333,,
527,77.57575757575758,87.5,,
528,76.06060606060606,85.9375,,
529,74.24242424242425,84.89583333333333,,
530,73.03030303030303,83.85416666666667,,
531,72.72727272727273,83.33333333333333,,
532,70.9090909090909,82.29166666666667,,
533,69.6969696969697,81.77083333333333,,
534,69.6969696969697,80.72916666666667,,
535,68.78787878787878,80.72916666666667,,
536,66.36363636363636,78.64583333333333,,
537,65.45454545454545,78.125,,
538,63.93939393939394,78.125,,
539,63.03030303030303,77.60416666666667,,
540,62.42424242424242,77.60416666666667,,
541,61.21212121212121,77.60416666666667,,
542,61.51515151515152,77.60416666666667,,
543,60.90909090909091,77.60416666666667,,
544,59.696969696969695,77.60416666666667,,
545,58.78787878787879,77.08333333333333,,
546,59.09090909090909,76.04166666666667,,
547,57.87878787878788,76.04166666666667,,
548,57.27272727272727,75.52083333333333,,
549,56.66666666666666,75.0,,
550,56.36363636363637,75.0,,
551,55.75757575757576,75.0,,
552,55.45454545454545,75.0,,
553,55.15151515151515,74.47916666666667,,
554,55.15151515151515,73.95833333333333,,
555,54.84848484848485,73.4375,,
556,54.54545454545455,72.39583333333333,,
557,54.24242424242424,71.875,,
558,52.42424242424242,70.83333333333333,,
559,51.51515151515152,70.83333333333333,,
560,50.90909090909091,70.83333333333333,,
561,49.39393939393939,70.3125,,
562,49.696969696969695,70.3125,,
563,49.09090909090909,69.79166666666667,,
564,48.48484848484848,69.79166666666667,,
565,48.48484848484848,69.79166666666667,,
566,48.18181818181818,68.22916666666667,,
567,48.48484848484848,68.22916666666667,,
568,49.09090909090909,68.22916666666667,,
569,48.48484848484848,68.22916666666667,,
570,48.48484848484848,68.22916666666667,,
571,48.48484848484848,67.1875,,
572,47.87878787878788,66.66666666666667,,
573,47.87878787878788,66.66666666666667,,
574,47.87878787878788,66.66666666666667,,
575,46.96969696969697,66.66666666666667,,
576,46.66666666666666,66.66666666666667,,
577,46.36363636363637,66.66666666666667,,
578,46.36363636363637,66.66666666666667,,
579,45.75757575757576,66.66666666666667,,
580,44.54545454545455,64.58333333333333,,
581,43.63636363636363,64.58333333333333,,
582,43.03030303030303,64.0625,,
