,Domain 0,Domain 1,Domain 2,Domain 3,Domain 4
0,58.394160583941606,,,,
1,59.85401459854015,,,,
2,61.31386861313869,,,,
3,59.12408759124087,,,,
4,60.58394160583941,,,,
5,61.31386861313869,,,,
6,62.04379562043796,,,,
7,62.77372262773723,,,,
8,64.23357664233576,,,,
9,62.77372262773723,,,,
10,63.503649635036496,,,,
11,63.503649635036496,,,,
12,63.503649635036496,,,,
13,63.503649635036496,,,,
14,62.77372262773723,,,,
15,63.503649635036496,,,,
16,62.77372262773723,,,,
17,63.503649635036496,,,,
18,62.77372262773723,,,,
19,61.31386861313869,,,,
20,61.31386861313869,,,,
21,60.58394160583941,,,,
22,61.31386861313869,,,,
23,61.31386861313869,,,,
24,60.58394160583941,,,,
25,62.04379562043796,,,,
26,62.04379562043796,,,,
27,62.04379562043796,,,,
28,62.77372262773723,,,,
29,62.77372262773723,,,,
30,64.23357664233576,,,,
31,62.04379562043796,,,,
32,62.77372262773723,,,,
33,62.04379562043796,,,,
34,61.31386861313869,,,,
35,60.58394160583941,,,,
36,62.04379562043796,,,,
37,61.31386861313869,,,,
38,62.04379562043796,,,,
39,62.04379562043796,,,,
40,62.04379562043796,,,,
41,62.04379562043796,,,,
42,62.04379562043796,,,,
43,62.77372262773723,,,,
44,62.77372262773723,,,,
45,62.77372262773723,,,,
46,62.77372262773723,,,,
47,63.503649635036496,,,,
48,63.503649635036496,,,,
49,63.503649635036496,,,,
50,63.503649635036496,,,,
51,64.23357664233576,,,,
52,64.23357664233576,,,,
53,63.503649635036496,,,,
54,62.77372262773723,,,,
55,62.77372262773723,,,,
56,62.77372262773723,,,,
57,62.77372262773723,,,,
58,62.77372262773723,,,,
59,62.77372262773723,,,,
60,62.77372262773723,,,,
61,62.77372262773723,,,,
62,63.503649635036496,,,,
63,63.503649635036496,,,,
64,64.23357664233576,,,,
65,64.23357664233576,,,,
66,64.23357664233576,,,,
67,64.23357664233576,,,,
68,64.96350364963503,,,,
69,64.96350364963503,,,,
70,64.96350364963503,,,,
71,65.69343065693431,,,,
72,65.69343065693431,,,,
73,64.96350364963503,,,,
74,64.96350364963503,,,,
75,64.96350364963503,,,,
76,64.96350364963503,,,,
77,64.96350364963503,,,,
78,64.96350364963503,,,,
79,64.23357664233576,,,,
80,64.23357664233576,,,,
81,64.23357664233576,,,,
82,64.23357664233576,,,,
83,64.23357664233576,,,,
84,63.503649635036496,,,,
85,63.503649635036496,,,,
86,63.503649635036496,,,,
87,63.503649635036496,,,,
88,63.503649635036496,,,,
89,64.23357664233576,,,,
90,63.503649635036496,,,,
91,64.23357664233576,,,,
92,63.503649635036496,,,,
93,63.503649635036496,,,,
94,63.503649635036496,,,,
