,Domain 0,Domain 1,Domain 2,Domain 3,Domain 4
0,48.71794871794872,,,,
1,51.44230769230769,,,,
2,54.16666666666666,,,,
3,56.41025641025641,,,,
4,57.05128205128205,,,,
5,57.532051282051285,,,,
6,58.01282051282051,,,,
7,59.77564102564103,,,,
8,59.93589743589744,,,,
9,59.77564102564103,,,,
10,59.93589743589744,,,,
11,60.09615384615385,,,,
12,59.77564102564103,,,,
13,59.93589743589744,,,,
14,60.09615384615385,,,,
15,60.09615384615385,,,,
16,60.41666666666666,,,,
17,60.8974358974359,,,,
18,61.05769230769231,,,,
19,61.69871794871795,,,,
20,61.69871794871795,,,,
21,60.8974358974359,,,,
22,61.21794871794872,,,,
23,61.53846153846154,,,,
24,61.85897435897436,,,,
25,61.21794871794872,,,,
26,61.21794871794872,,,,
27,61.21794871794872,,,,
28,61.21794871794872,,,,
29,60.73717948717949,,,,
30,60.57692307692308,,,,
31,60.8974358974359,,,,
32,60.41666666666666,,,,
33,60.41666666666666,,,,
34,60.256410256410255,,,,
35,60.57692307692308,,,,
36,60.57692307692308,,,,
37,60.41666666666666,,,,
38,60.256410256410255,,,,
39,60.41666666666666,,,,
40,60.8974358974359,,,,
41,60.8974358974359,,,,
42,60.8974358974359,,,,
43,61.05769230769231,,,,
44,61.69871794871795,,,,
45,61.69871794871795,,,,
46,61.69871794871795,,,,
47,61.69871794871795,,,,
48,61.37820512820513,,,,
49,61.37820512820513,,,,
50,61.85897435897436,,,,
51,62.01923076923077,,,,
52,62.01923076923077,,,,
53,62.01923076923077,,,,
54,62.01923076923077,,,,
55,61.85897435897436,,,,
56,61.85897435897436,,,,
57,61.69871794871795,,,,
58,62.01923076923077,,,,
59,61.85897435897436,,,,
60,61.85897435897436,,,,
61,61.53846153846154,,,,
62,61.85897435897436,,,,
63,61.53846153846154,,,,
64,61.69871794871795,,,,
65,61.53846153846154,,,,
66,61.69871794871795,,,,
67,61.53846153846154,,,,
68,61.21794871794872,,,,
69,61.37820512820513,,,,
70,61.53846153846154,,,,
71,61.85897435897436,,,,
72,61.69871794871795,,,,
73,61.69871794871795,,,,
74,61.69871794871795,,,,
75,62.01923076923077,,,,
76,62.01923076923077,,,,
77,61.85897435897436,,,,
78,62.17948717948718,,,,
79,61.85897435897436,,,,
80,62.01923076923077,,,,
81,61.85897435897436,,,,
82,61.53846153846154,,,,
83,61.69871794871795,,,,
84,61.69871794871795,,,,
85,61.69871794871795,,,,
86,61.85897435897436,,,,
87,61.69871794871795,,,,
88,61.85897435897436,,,,
89,61.69871794871795,,,,
90,61.85897435897436,,,,
91,62.17948717948718,,,,
92,62.17948717948718,,,,
93,62.17948717948718,,,,
94,62.17948717948718,,,,
95,62.33974358974359,,,,
96,62.33974358974359,,,,
97,62.5,,,,
98,62.5,,,,
99,62.5,,,,
100,62.33974358974359,,,,
101,62.5,,,,
102,62.33974358974359,,,,
103,62.33974358974359,,,,
104,62.33974358974359,,,,
105,62.5,,,,
106,62.33974358974359,,,,
107,62.33974358974359,,,,
108,62.33974358974359,,,,
109,62.5,,,,
110,62.33974358974359,,,,
111,62.5,,,,
112,62.33974358974359,,,,
113,62.5,,,,
114,62.33974358974359,,,,
115,62.33974358974359,,,,
116,62.33974358974359,,,,
117,62.33974358974359,,,,
118,62.66025641025641,,,,
119,62.66025641025641,,,,
120,62.66025641025641,,,,
121,62.5,,,,
122,62.66025641025641,,,,
123,62.5,,,,
124,62.5,,,,
125,62.33974358974359,,,,
126,62.33974358974359,,,,
127,62.33974358974359,,,,
128,62.33974358974359,,,,
129,62.33974358974359,,,,
130,62.33974358974359,,,,
131,62.66025641025641,,,,
132,62.5,,,,
133,62.5,,,,
134,62.66025641025641,,,,
135,62.82051282051282,,,,
136,62.98076923076923,,,,
137,62.82051282051282,,,,
138,62.98076923076923,,,,
139,62.98076923076923,,,,
140,62.98076923076923,,,,
141,62.98076923076923,,,,
142,62.82051282051282,,,,
143,62.66025641025641,,,,
144,62.82051282051282,,,,
145,62.82051282051282,,,,
146,62.66025641025641,,,,
147,62.82051282051282,,,,
148,62.66025641025641,,,,
149,62.82051282051282,,,,
150,62.82051282051282,,,,
151,62.98076923076923,,,,
152,62.98076923076923,,,,
153,62.98076923076923,,,,
154,62.66025641025641,,,,
155,62.66025641025641,,,,
156,62.66025641025641,,,,
157,62.66025641025641,,,,
158,62.33974358974359,,,,
159,62.66025641025641,,,,
160,62.82051282051282,,,,
161,62.82051282051282,,,,
162,62.82051282051282,,,,
163,62.66025641025641,,,,
164,63.14102564102564,,,,
165,62.98076923076923,,,,
166,63.14102564102564,,,,
167,63.14102564102564,,,,
168,63.30128205128205,,,,
169,63.30128205128205,,,,
170,63.30128205128205,,,,
171,62.98076923076923,,,,
172,62.82051282051282,,,,
173,62.98076923076923,,,,
174,63.14102564102564,,,,
175,63.30128205128205,,,,
176,63.30128205128205,,,,
177,63.14102564102564,,,,
178,63.30128205128205,,,,
179,63.14102564102564,,,,
180,63.46153846153846,,,,
181,63.30128205128205,,,,
182,63.30128205128205,,,,
183,63.14102564102564,,,,
184,63.46153846153846,,,,
185,63.46153846153846,,,,
186,63.62179487179487,,,,
187,63.14102564102564,,,,
188,63.14102564102564,,,,
189,63.30128205128205,,,,
190,62.98076923076923,,,,
191,62.98076923076923,,,,
192,63.30128205128205,,,,
193,63.30128205128205,,,,
194,62.98076923076923,,,,
195,62.98076923076923,,,,
196,62.98076923076923,,,,
197,62.82051282051282,,,,
198,62.98076923076923,,,,
199,62.98076923076923,,,,
200,62.98076923076923,,,,
201,62.98076923076923,,,,
202,62.98076923076923,,,,
203,62.98076923076923,,,,
204,62.98076923076923,,,,
205,62.98076923076923,,,,
206,62.98076923076923,,,,
207,62.98076923076923,,,,
208,62.98076923076923,,,,
209,62.98076923076923,,,,
210,62.98076923076923,,,,
211,63.14102564102564,,,,
212,63.14102564102564,,,,
213,63.14102564102564,,,,
214,63.14102564102564,,,,
215,63.14102564102564,,,,
216,63.14102564102564,,,,
217,63.14102564102564,,,,
218,63.14102564102564,,,,
219,63.14102564102564,,,,
220,63.14102564102564,,,,
221,63.14102564102564,,,,
222,63.14102564102564,,,,
223,63.14102564102564,,,,
224,63.14102564102564,,,,
225,63.14102564102564,,,,
226,63.14102564102564,,,,
227,63.14102564102564,,,,
228,63.14102564102564,,,,
229,63.14102564102564,,,,
230,63.14102564102564,,,,
231,63.14102564102564,,,,
232,63.14102564102564,,,,
233,63.14102564102564,,,,
234,63.14102564102564,,,,
235,63.14102564102564,,,,
236,63.30128205128205,,,,
237,63.62179487179487,,,,
238,63.782051282051285,,,,
239,63.62179487179487,,,,
240,63.782051282051285,,,,
241,63.782051282051285,,,,
242,63.782051282051285,,,,
243,63.782051282051285,,,,
244,63.782051282051285,,,,
245,63.782051282051285,,,,
246,63.782051282051285,,,,
247,63.782051282051285,,,,
248,63.782051282051285,,,,
249,63.782051282051285,,,,
250,63.782051282051285,,,,
251,63.782051282051285,,,,
252,63.782051282051285,,,,
253,63.782051282051285,,,,
254,63.782051282051285,,,,
255,63.782051282051285,,,,
256,63.62179487179487,,,,
257,63.782051282051285,,,,
258,63.782051282051285,,,,
259,63.94230769230769,,,,
260,63.94230769230769,,,,
261,63.782051282051285,,,,
262,63.782051282051285,,,,
263,63.782051282051285,,,,
264,63.94230769230769,,,,
265,63.782051282051285,,,,
266,63.62179487179487,,,,
267,63.62179487179487,,,,
268,63.62179487179487,,,,
269,63.46153846153846,,,,
270,63.46153846153846,,,,
271,63.46153846153846,,,,
272,63.46153846153846,,,,
273,63.782051282051285,,,,
274,63.782051282051285,,,,
275,63.782051282051285,,,,
276,63.782051282051285,,,,
277,63.782051282051285,,,,
278,63.782051282051285,,,,
279,63.782051282051285,,,,
280,63.94230769230769,,,,
281,63.782051282051285,,,,
282,63.94230769230769,,,,
283,63.94230769230769,,,,
284,63.782051282051285,,,,
285,63.782051282051285,,,,
286,63.782051282051285,,,,
287,63.782051282051285,,,,
288,63.782051282051285,,,,
289,63.62179487179487,,,,
290,63.62179487179487,,,,
291,63.62179487179487,,,,
292,63.62179487179487,,,,
293,63.62179487179487,,,,
294,63.62179487179487,,,,
295,63.46153846153846,,,,
296,63.62179487179487,,,,
297,63.46153846153846,,,,
298,63.46153846153846,,,,
299,63.46153846153846,,,,
300,63.46153846153846,,,,
301,63.46153846153846,,,,
302,63.46153846153846,,,,
303,63.46153846153846,,,,
304,63.62179487179487,,,,
305,63.46153846153846,,,,
306,63.46153846153846,,,,
307,63.46153846153846,,,,
308,63.46153846153846,,,,
309,63.62179487179487,,,,
310,63.62179487179487,,,,
311,63.46153846153846,,,,
312,63.30128205128205,,,,
313,63.30128205128205,,,,
314,63.30128205128205,,,,
315,63.30128205128205,,,,
316,63.30128205128205,,,,
317,63.30128205128205,,,,
318,63.30128205128205,,,,
319,63.46153846153846,,,,
320,63.30128205128205,,,,
321,63.62179487179487,,,,
322,63.46153846153846,,,,
323,63.46153846153846,,,,
324,63.46153846153846,,,,
325,63.46153846153846,,,,
326,63.46153846153846,,,,
327,63.30128205128205,,,,
328,63.46153846153846,,,,
329,63.46153846153846,,,,
330,63.46153846153846,,,,
331,63.30128205128205,,,,
332,63.30128205128205,,,,
333,63.30128205128205,,,,
334,63.46153846153846,,,,
335,63.14102564102564,,,,
336,63.14102564102564,,,,
337,63.46153846153846,,,,
338,63.46153846153846,,,,
339,63.46153846153846,,,,
340,63.62179487179487,,,,
341,63.46153846153846,,,,
342,63.30128205128205,,,,
343,63.30128205128205,,,,
344,63.30128205128205,,,,
345,63.46153846153846,,,,
346,63.46153846153846,,,,
347,63.46153846153846,,,,
348,63.30128205128205,,,,
349,63.30128205128205,,,,
350,63.30128205128205,,,,
351,63.30128205128205,,,,
352,63.30128205128205,,,,
353,63.30128205128205,,,,
354,63.30128205128205,,,,
355,63.30128205128205,,,,
356,63.30128205128205,,,,
357,63.30128205128205,,,,
358,63.30128205128205,,,,
359,63.30128205128205,,,,
360,63.30128205128205,,,,
361,63.30128205128205,,,,
362,63.30128205128205,,,,
363,63.30128205128205,,,,
364,63.14102564102564,,,,
365,63.30128205128205,,,,
366,63.14102564102564,,,,
367,63.14102564102564,,,,
368,63.14102564102564,,,,
369,63.14102564102564,,,,
370,63.14102564102564,,,,
371,63.14102564102564,,,,
372,63.14102564102564,,,,
373,63.14102564102564,,,,
374,63.14102564102564,,,,
375,63.14102564102564,,,,
376,63.14102564102564,,,,
377,63.14102564102564,,,,
378,63.14102564102564,,,,
379,63.14102564102564,,,,
380,63.14102564102564,,,,
381,63.14102564102564,,,,
