,Domain 0,Domain 1,Domain 2,Domain 3,Mean
0,56.864754098360656,,,,56.864754098360656
1,56.14754098360656,,,,56.14754098360656
2,55.12295081967213,,,,55.12295081967213
3,54.50819672131148,,,,54.50819672131148
4,54.40573770491803,,,,54.40573770491803
5,54.50819672131148,,,,54.50819672131148
6,54.40573770491803,,,,54.40573770491803
7,54.71311475409836,,,,54.71311475409836
8,54.91803278688525,,,,54.91803278688525
9,55.22540983606557,,,,55.22540983606557
10,55.5327868852459,,,,55.5327868852459
11,55.94262295081968,,,,55.94262295081968
12,56.35245901639344,,,,56.35245901639344
13,56.454918032786885,,,,56.454918032786885
14,56.55737704918032,,,,56.55737704918032
15,56.9672131147541,,,,56.9672131147541
16,56.9672131147541,,,,56.9672131147541
17,56.65983606557376,,,,56.65983606557376
18,56.65983606557376,,,,56.65983606557376
19,56.76229508196722,,,,56.76229508196722
20,56.65983606557376,,,,56.65983606557376
21,56.76229508196722,,,,56.76229508196722
22,56.454918032786885,,,,56.454918032786885
23,56.76229508196722,,,,56.76229508196722
24,56.76229508196722,,,,56.76229508196722
25,56.55737704918032,,,,56.55737704918032
26,56.65983606557376,,,,56.65983606557376
27,56.65983606557376,,,,56.65983606557376
28,56.76229508196722,,,,56.76229508196722
29,56.76229508196722,,,,56.76229508196722
30,56.76229508196722,,,,56.76229508196722
31,56.65983606557376,,,,56.65983606557376
32,56.76229508196722,,,,56.76229508196722
33,56.9672131147541,,,,56.9672131147541
34,56.864754098360656,,,,56.864754098360656
35,56.76229508196722,,,,56.76229508196722
36,56.9672131147541,,,,56.9672131147541
37,56.9672131147541,,,,56.9672131147541
38,57.06967213114754,,,,57.06967213114754
39,56.9672131147541,,,,56.9672131147541
40,56.864754098360656,,,,56.864754098360656
41,56.864754098360656,,,,56.864754098360656
42,57.17213114754098,,,,57.17213114754098
43,57.58196721311475,,,,57.58196721311475
44,57.377049180327866,,,,57.377049180327866
45,57.479508196721305,,,,57.479508196721305
46,57.479508196721305,,,,57.479508196721305
47,57.684426229508205,,,,57.684426229508205
48,57.684426229508205,,,,57.684426229508205
49,57.78688524590165,,,,57.78688524590165
50,57.684426229508205,,,,57.684426229508205
51,57.78688524590165,,,,57.78688524590165
52,57.479508196721305,,,,57.479508196721305
53,57.27459016393443,,,,57.27459016393443
54,57.479508196721305,,,,57.479508196721305
55,57.58196721311475,,,,57.58196721311475
56,57.58196721311475,,,,57.58196721311475
57,57.58196721311475,,,,57.58196721311475
58,57.58196721311475,,,,57.58196721311475
59,57.78688524590165,,,,57.78688524590165
60,57.78688524590165,,,,57.78688524590165
61,57.78688524590165,,,,57.78688524590165
62,57.684426229508205,,,,57.684426229508205
63,57.479508196721305,,,,57.479508196721305
64,57.684426229508205,,,,57.684426229508205
65,57.684426229508205,,,,57.684426229508205
66,57.684426229508205,,,,57.684426229508205
67,57.377049180327866,,,,57.377049180327866
68,57.377049180327866,,,,57.377049180327866
69,57.377049180327866,,,,57.377049180327866
70,57.377049180327866,,,,57.377049180327866
71,57.27459016393443,,,,57.27459016393443
72,57.27459016393443,,,,57.27459016393443
73,57.27459016393443,,,,57.27459016393443
74,57.17213114754098,,,,57.17213114754098
75,57.377049180327866,,,,57.377049180327866
76,57.377049180327866,,,,57.377049180327866
77,57.17213114754098,,,,57.17213114754098
78,57.27459016393443,,,,57.27459016393443
79,56.9672131147541,,,,56.9672131147541
80,57.27459016393443,,,,57.27459016393443
81,57.27459016393443,,,,57.27459016393443
82,57.27459016393443,,,,57.27459016393443
83,57.27459016393443,,,,57.27459016393443
84,57.479508196721305,,,,57.479508196721305
85,57.479508196721305,,,,57.479508196721305
86,57.58196721311475,,,,57.58196721311475
87,57.684426229508205,,,,57.684426229508205
88,57.78688524590165,,,,57.78688524590165
89,57.479508196721305,,,,57.479508196721305
90,57.78688524590165,,,,57.78688524590165
91,57.479508196721305,,,,57.479508196721305
92,57.58196721311475,,,,57.58196721311475
93,57.78688524590165,,,,57.78688524590165
94,57.88934426229508,,,,57.88934426229508
95,57.99180327868852,,,,57.99180327868852
96,57.88934426229508,,,,57.88934426229508
97,57.78688524590165,,,,57.78688524590165
98,57.88934426229508,,,,57.88934426229508
99,58.19672131147541,,,,58.19672131147541
100,58.29918032786885,,,,58.29918032786885
101,58.40163934426229,,,,58.40163934426229
102,58.40163934426229,,,,58.40163934426229
103,58.40163934426229,,,,58.40163934426229
104,58.29918032786885,,,,58.29918032786885
