,Domain 0,Domain 1,Domain 2,Domain 3,Mean
262,63.42213114754098,,,,63.42213114754098
263,63.42213114754098,,,,63.42213114754098
264,63.2172131147541,,,,63.2172131147541
265,63.729508196721305,,,,63.729508196721305
266,63.627049180327866,,,,63.627049180327866
267,63.627049180327866,,,,63.627049180327866
268,63.42213114754098,,,,63.42213114754098
269,63.42213114754098,,,,63.42213114754098
270,63.42213114754098,,,,63.42213114754098
271,63.42213114754098,,,,63.42213114754098
272,63.31967213114754,,,,63.31967213114754
273,63.729508196721305,,,,63.729508196721305
274,63.42213114754098,,,,63.42213114754098
275,63.2172131147541,,,,63.2172131147541
276,63.627049180327866,,,,63.627049180327866
277,63.729508196721305,,,,63.729508196721305
278,63.729508196721305,,,,63.729508196721305
279,63.729508196721305,,,,63.729508196721305
280,63.934426229508205,,,,63.934426229508205
281,63.729508196721305,,,,63.729508196721305
282,63.627049180327866,,,,63.627049180327866
283,63.729508196721305,,,,63.729508196721305
284,63.627049180327866,,,,63.627049180327866
285,63.627049180327866,,,,63.627049180327866
286,63.52459016393443,,,,63.52459016393443
287,63.729508196721305,,,,63.729508196721305
288,63.729508196721305,,,,63.729508196721305
289,63.729508196721305,,,,63.729508196721305
290,63.729508196721305,,,,63.729508196721305
291,63.627049180327866,,,,63.627049180327866
292,63.83196721311475,,,,63.83196721311475
293,63.83196721311475,,,,63.83196721311475
294,63.729508196721305,,,,63.729508196721305
295,63.627049180327866,,,,63.627049180327866
296,63.627049180327866,,,,63.627049180327866
297,63.934426229508205,,,,63.934426229508205
298,63.729508196721305,,,,63.729508196721305
299,63.934426229508205,,,,63.934426229508205
300,63.114754098360656,36.90476190476191,,,50.00975800156128
301,62.704918032786885,43.80952380952381,,,53.25722092115535
302,62.60245901639344,50.0,,,56.30122950819672
303,62.90983606557376,52.61904761904762,,,57.76444184231069
304,62.90983606557376,54.52380952380952,,,58.71682279469164
305,62.90983606557376,57.85714285714286,,,60.38348946135831
306,62.80737704918032,60.71428571428571,,,61.76083138173301
307,62.80737704918032,62.142857142857146,,,62.475117096018735
308,62.90983606557376,65.0,,,63.95491803278688
309,62.90983606557376,66.66666666666666,,,64.7882513661202
310,63.01229508196722,68.57142857142857,,,65.7918618266979
311,62.80737704918032,69.52380952380952,,,66.16559328649492
312,62.29508196721312,70.23809523809523,,,66.26658860265417
313,62.09016393442624,69.76190476190476,,,65.9260343481655
314,61.7827868852459,70.71428571428572,,,66.24853629976582
315,61.57786885245902,70.71428571428572,,,66.14607728337236
316,61.68032786885246,71.42857142857143,,,66.55444964871194
317,61.16803278688525,72.61904761904762,,,66.89354020296643
318,60.75819672131148,73.80952380952381,,,67.28386026541764
319,60.34836065573771,74.76190476190476,,,67.55513270882123
320,60.55327868852459,75.0,,,67.77663934426229
321,60.040983606557376,75.0,,,67.52049180327869
322,59.73360655737705,75.71428571428571,,,67.72394613583138
323,59.11885245901639,75.71428571428571,,,67.41656908665105
324,59.11885245901639,75.47619047619048,,,67.29752146760343
325,58.91393442622951,75.95238095238095,,,67.43315768930523
326,58.60655737704919,76.66666666666667,,,67.63661202185793
327,58.50409836065575,76.66666666666667,,,67.58538251366122
328,58.50409836065575,76.66666666666667,,,67.58538251366122
329,58.50409836065575,76.90476190476191,,,67.70443013270884
330,58.50409836065575,76.90476190476191,,,67.70443013270884
331,58.60655737704919,77.14285714285715,,,67.87470725995317
332,58.50409836065575,77.14285714285715,,,67.82347775175646
333,58.29918032786885,77.14285714285715,,,67.721018735363
334,58.40163934426229,77.38095238095238,,,67.89129586260734
335,58.29918032786885,77.38095238095238,,,67.84006635441061
336,57.99180327868852,77.38095238095238,,,67.68637782982046
337,57.684426229508205,77.85714285714286,,,67.77078454332553
338,57.684426229508205,77.85714285714286,,,67.77078454332553
339,57.78688524590165,77.85714285714286,,,67.82201405152226
340,57.78688524590165,77.85714285714286,,,67.82201405152226
341,57.684426229508205,78.0952380952381,,,67.88983216237315
342,57.58196721311475,77.85714285714286,,,67.7195550351288
343,57.377049180327866,78.0952380952381,,,67.73614363778299
344,57.377049180327866,77.85714285714286,,,67.61709601873537
345,57.377049180327866,78.0952380952381,,,67.73614363778299
346,57.06967213114754,78.0952380952381,,,67.58245511319282
347,57.06967213114754,78.33333333333333,,,67.70150273224044
348,57.06967213114754,78.0952380952381,,,67.58245511319282
349,56.9672131147541,78.0952380952381,,,67.53122560499611
350,56.864754098360656,78.33333333333333,,,67.59904371584699
351,56.76229508196722,78.33333333333333,,,67.54781420765028
352,56.864754098360656,78.33333333333333,,,67.59904371584699
353,56.65983606557376,78.57142857142857,,,67.61563231850116
354,56.65983606557376,78.57142857142857,,,67.61563231850116
355,56.55737704918032,78.57142857142857,,,67.56440281030444
356,56.65983606557376,78.80952380952381,,,67.73467993754878
357,56.55737704918032,78.33333333333333,,,67.44535519125682
358,56.65983606557376,78.57142857142857,,,67.61563231850116
359,56.454918032786885,78.57142857142857,,,67.51317330210773
360,56.454918032786885,78.57142857142857,,,67.51317330210773
361,56.454918032786885,78.57142857142857,,,67.51317330210773
362,56.55737704918032,78.57142857142857,,,67.56440281030444
363,56.55737704918032,78.57142857142857,,,67.56440281030444
364,56.454918032786885,78.57142857142857,,,67.51317330210773
365,56.454918032786885,78.57142857142857,,,67.51317330210773
366,56.25,78.57142857142857,,,67.41071428571428
367,56.35245901639344,78.33333333333333,,,67.34289617486338
368,56.35245901639344,78.33333333333333,,,67.34289617486338
369,55.94262295081968,78.33333333333333,,,67.1379781420765
370,55.94262295081968,78.33333333333333,,,67.1379781420765
371,55.84016393442624,78.57142857142857,,,67.2057962529274
372,55.84016393442624,78.57142857142857,,,67.2057962529274
373,55.84016393442624,78.57142857142857,,,67.2057962529274
374,55.84016393442624,78.57142857142857,,,67.2057962529274
375,55.84016393442624,78.57142857142857,,,67.2057962529274
376,55.84016393442624,78.57142857142857,,,67.2057962529274
377,55.73770491803278,78.57142857142857,,,67.15456674473067
378,55.73770491803278,78.57142857142857,,,67.15456674473067
379,55.5327868852459,78.57142857142857,,,67.05210772833723
380,55.43032786885246,78.57142857142857,,,67.00087822014052
381,55.22540983606557,78.57142857142857,,,66.89841920374707
382,55.12295081967213,78.57142857142857,,,66.84718969555036
383,55.12295081967213,78.57142857142857,,,66.84718969555036
384,55.020491803278695,78.57142857142857,,,66.79596018735363
