,Domain 0,Domain 1,Domain 2,Domain 3,Mean
194,61.37295081967213,,,,61.37295081967213
195,61.37295081967213,,,,61.37295081967213
196,61.47540983606557,,,,61.47540983606557
197,61.47540983606557,,,,61.47540983606557
198,61.37295081967213,,,,61.37295081967213
199,61.16803278688525,,,,61.16803278688525
200,61.0655737704918,,,,61.0655737704918
201,61.0655737704918,,,,61.0655737704918
202,61.16803278688525,,,,61.16803278688525
203,61.0655737704918,,,,61.0655737704918
204,61.16803278688525,,,,61.16803278688525
205,61.16803278688525,,,,61.16803278688525
206,61.27049180327869,,,,61.27049180327869
207,61.37295081967213,,,,61.37295081967213
208,61.27049180327869,,,,61.27049180327869
209,61.16803278688525,,,,61.16803278688525
210,61.27049180327869,,,,61.27049180327869
211,61.47540983606557,,,,61.47540983606557
212,61.57786885245902,,,,61.57786885245902
213,61.57786885245902,,,,61.57786885245902
214,61.37295081967213,,,,61.37295081967213
215,61.47540983606557,,,,61.47540983606557
216,61.37295081967213,,,,61.37295081967213
217,61.27049180327869,,,,61.27049180327869
218,61.27049180327869,,,,61.27049180327869
219,61.37295081967213,,,,61.37295081967213
220,61.57786885245902,,,,61.57786885245902
221,61.57786885245902,,,,61.57786885245902
222,61.885245901639344,,,,61.885245901639344
223,61.885245901639344,,,,61.885245901639344
224,61.57786885245902,,,,61.57786885245902
225,61.68032786885246,,,,61.68032786885246
226,61.68032786885246,,,,61.68032786885246
227,61.78278688524591,,,,61.78278688524591
228,61.57786885245902,,,,61.57786885245902
229,61.885245901639344,,,,61.885245901639344
230,61.78278688524591,,,,61.78278688524591
231,61.885245901639344,,,,61.885245901639344
232,61.78278688524591,,,,61.78278688524591
233,61.78278688524591,,,,61.78278688524591
234,61.78278688524591,,,,61.78278688524591
235,61.57786885245902,,,,61.57786885245902
236,61.57786885245902,,,,61.57786885245902
237,61.98770491803279,,,,61.98770491803279
238,62.09016393442623,,,,62.09016393442623
239,61.885245901639344,,,,61.885245901639344
240,61.885245901639344,,,,61.885245901639344
241,62.09016393442623,,,,62.09016393442623
242,61.885245901639344,,,,61.885245901639344
243,61.68032786885246,,,,61.68032786885246
244,61.68032786885246,,,,61.68032786885246
245,61.78278688524591,,,,61.78278688524591
246,61.78278688524591,,,,61.78278688524591
247,61.885245901639344,,,,61.885245901639344
248,61.78278688524591,,,,61.78278688524591
249,61.78278688524591,,,,61.78278688524591
250,61.68032786885246,,,,61.68032786885246
251,61.78278688524591,,,,61.78278688524591
252,61.68032786885246,,,,61.68032786885246
253,61.57786885245902,,,,61.57786885245902
254,61.57786885245902,,,,61.57786885245902
255,61.57786885245902,,,,61.57786885245902
256,61.78278688524591,,,,61.78278688524591
257,61.47540983606557,,,,61.47540983606557
258,61.47540983606557,,,,61.47540983606557
259,61.47540983606557,,,,61.47540983606557
