Unnamed: 0,Close
2000-03-01,5.08
2000-03-02,4.96
2000-03-03,5.05
2000-03-06,5.04
2000-03-07,5.07
2000-03-08,5.12
2000-03-09,5.16
2000-03-10,5.22
2000-03-13,5.42
2000-03-14,5.28
2000-03-15,5.25
2000-03-16,5.34
2000-03-17,5.27
2000-03-20,5.13
2000-03-21,5.2
2000-03-22,5.25
2000-03-23,5.45
2000-03-24,5.38
2000-03-27,5.47
2000-03-28,5.41
2000-03-29,5.42
2000-03-30,5.55
2000-03-31,5.9
2000-04-03,5.91
2000-04-04,5.81
2000-04-05,6.02
2000-04-06,5.96
2000-04-07,5.89
2000-04-10,5.86
2000-04-11,5.97
2000-04-12,6.03
2000-04-13,6.16
2000-04-14,6.23
2000-04-17,6.45
2000-04-18,6.35
2000-04-19,6.41
2000-04-20,6.44
2000-04-24,6.37
2000-04-25,6.36
2000-04-26,6.27
2000-04-27,6.18
2000-04-28,5.16
2000-05-01,6.53
2000-05-02,6.4
2000-05-03,6.4
2000-05-04,6.53
2000-05-05,6.59
2000-05-08,6.45
2000-05-09,6.5
2000-05-10,6.5
2000-05-11,6.63
2000-05-12,6.78
2000-05-15,6.95
2000-05-16,7.13
2000-05-17,7.06
2000-05-18,7.07
2000-05-19,7.21
2000-05-22,7.42
2000-05-23,7.45
2000-05-24,7.56
2000-05-25,7.76
2000-05-26,7.81
2000-05-30,7.7
2000-05-31,7.55
2000-06-01,7.79
2000-06-02,8.14
2000-06-05,8.0
2000-06-06,8.15
2000-06-07,8.16
2000-06-08,8.18
2000-06-09,8.57
2000-06-12,8.49
2000-06-13,8.72
2000-06-14,8.82
2000-06-15,8.52
2000-06-16,8.19
2000-06-19,8.55
2000-06-20,8.62
2000-06-21,8.65
2000-06-22,8.51
2000-06-23,8.49
2000-06-26,8.57
2000-06-27,8.66
2000-06-28,8.65
2000-06-29,9.2
2000-06-30,8.5
2000-07-03,8.43
2000-07-05,8.69
2000-07-06,8.86
2000-07-07,8.68
2000-07-10,8.66
2000-07-11,8.83
2000-07-12,9.17
2000-07-13,9.22
2000-07-14,9.2
2000-07-17,9.66
2000-07-18,10.04
2000-07-19,9.96
2000-07-20,10.31
2000-07-21,10.41
2000-07-24,10.24
2000-07-25,10.43
2000-07-26,10.6
2000-07-27,10.78
2000-07-28,10.89
2000-07-31,10.4
2000-08-01,10.35
2000-08-02,10.79
2000-08-03,11.06
2000-08-04,10.8
2000-08-07,10.5
2000-08-08,10.7
2000-08-09,10.59
2000-08-10,10.41
2000-08-11,10.65
2000-08-14,10.77
2000-08-15,10.66
2000-08-16,10.7
2000-08-17,10.51
2000-08-18,10.7
2000-08-21,10.7
2000-08-22,10.62
2000-08-23,10.48
2000-08-24,10.36
2000-08-25,10.82
2000-08-28,10.8
2000-08-29,10.73
2000-08-30,10.76
2000-08-31,10.56
2000-09-01,10.82
2000-09-05,10.43
2000-09-06,10.38
2000-09-07,10.73
2000-09-08,10.67
2000-09-11,10.4
2000-09-12,10.47
2000-09-13,10.53
2000-09-14,10.36
2000-09-15,9.78
2000-09-18,9.65
2000-09-19,9.8
2000-09-20,9.44
2000-09-21,9.16
2000-09-22,9.56
2000-09-25,9.74
2000-09-26,9.72
2000-09-27,9.85
2000-09-28,9.83
2000-09-29,9.77
2000-10-02,9.64
2000-10-03,9.71
2000-10-04,10.0
2000-10-05,10.03
2000-10-06,10.08
2000-10-09,10.46
2000-10-10,10.77
2000-10-11,10.97
2000-10-12,10.86
2000-10-13,11.0
2000-10-16,11.39
2000-10-17,11.14
2000-10-18,11.08
2000-10-19,10.86
2000-10-20,10.87
2000-10-23,10.78
2000-10-24,10.58
2000-10-25,10.27
2000-10-26,9.36
2000-10-27,9.53
2000-10-30,9.81
2000-10-31,9.9
2000-11-01,9.75
2000-11-02,9.54
2000-11-03,9.57
2000-11-06,9.56
2000-11-07,9.53
2000-11-08,9.26
2000-11-09,8.81
2000-11-10,9.15
2000-11-13,8.96
2000-11-14,8.73
2000-11-15,9.1
2000-11-16,9.56
2000-11-17,9.63
2000-11-20,9.76
2000-11-21,9.72
2000-11-22,9.93
2000-11-27,10.11
2000-11-28,9.94
2000-11-29,9.91
2000-11-30,9.75
2000-12-01,9.66
2000-12-04,9.86
2000-12-05,9.71
2000-12-06,9.61
2000-12-07,9.63
2000-12-08,9.75
2000-12-11,9.7
2000-12-12,9.65
2000-12-13,9.41
2000-12-14,9.2
2000-12-15,9.31
2000-12-18,9.32
2000-12-19,9.42
2000-12-20,9.99
2000-12-21,9.87
2000-12-22,9.81
2000-12-26,9.98
2000-12-27,10.24
2000-12-28,10.03
2000-12-29,10.2
2001-01-02,10.17
2001-01-03,10.23
2001-01-04,10.35
2001-01-05,10.27
2001-01-08,10.47
2001-01-09,10.46
2001-01-10,10.29
2001-01-11,10.26
2001-01-12,10.0
2001-01-16,10.23
2001-01-17,10.06
2001-01-18,9.87
2001-01-19,10.09
2001-01-22,10.05
2001-01-23,10.07
2001-01-24,10.05
2001-01-25,10.03
2001-01-26,10.0
2001-01-29,9.74
2001-01-30,9.58
2001-01-31,9.95
2001-02-01,10.25
2001-02-02,10.14
2001-02-05,10.0
2001-02-06,10.01
2001-02-07,9.89
2001-02-08,9.88
2001-02-09,9.8
2001-02-12,9.86
2001-02-13,9.82
2001-02-14,9.67
2001-02-15,9.7
2001-02-16,9.64
2001-02-20,9.39
2001-02-21,9.53
2001-02-22,9.41
2001-02-23,9.39
2001-02-26,9.35
2001-02-27,8.92
2001-02-28,9.28
2001-03-01,9.14
2001-03-02,9.11
2001-03-05,9.3
2001-03-06,9.32
2001-03-07,9.1
2001-03-08,9.01
2001-03-09,9.0
2001-03-12,8.83
2001-03-13,8.76
2001-03-14,8.73
2001-03-15,8.92
2001-03-16,8.77
2001-03-19,8.66
2001-03-20,8.62
2001-03-21,8.72
2001-03-22,8.46
2001-03-23,8.37
2001-03-26,8.46
2001-03-27,8.5
2001-03-28,8.52
2001-03-29,8.38
2001-03-30,7.75
2001-04-02,8.15
2001-04-03,8.2
2001-04-04,8.15
2001-04-05,8.08
2001-04-06,8.16
2001-04-09,8.21
2001-04-10,8.36
2001-04-11,8.18
2001-04-12,8.31
2001-04-16,8.46
2001-04-17,8.5
2001-04-18,8.53
2001-04-19,8.8
2001-04-20,8.71
2001-04-23,8.71
2001-04-24,8.88
2001-04-25,8.94
2001-04-26,9.19
2001-04-27,9.35
2001-04-30,9.5
2001-05-01,8.95
2001-05-02,8.97
2001-05-03,9.2
